time,seconds,sequence,team_id,text,type,event,period
19:35,1175,120263314,47,Alex Cotton misses 15-foot pullup jump shot,JumpShot,MISS,1
19:31,1171,120263315,2428,Gage Lattimore Defensive Rebound.,Defensive Rebound,DREB,1
19:11,1151,120263316,2428,Kelechi Okworogwo makes layup (Dionte Johnson assists),LayUpShot,MAKE,1
18:43,1123,120263398,47,Bryce Harris misses 24-foot three point jumper,JumpShot,MISS,1
18:40,1120,120263399,2428,Kyric Davis Defensive Rebound.,Defensive Rebound,DREB,1
18:27,1107,120263402,2428,"Dionte Johnson bad pass
turnover",Lost Ball Turnover,TOV,1
18:03,1083,120263405,47,"Bryce Harris bad pass
turnover",Lost Ball Turnover,TOV,1
17:34,1054,120263414,47,Foul on Ose Okojie.,PersonalFoul,FOUL,1
17:05,1025,120263486,47,Bryce Harris misses 25-foot three point jumper,JumpShot,MISS,1
17:01,1021,120263487,2428,Gage Lattimore Defensive Rebound.,Defensive Rebound,DREB,1
16:46,1006,120263493,2428,"Kyric Davis bad pass
turnover",Lost Ball Turnover,TOV,1
16:42,1002,120263496,2428,Foul on Kyric Davis.,PersonalFoul,FOUL,1
16:31,991,120263517,2428,Kyric Davis misses driving layup,LayUpShot,MISS,1
16:31,991,120263540,47,Bryce Harris Block.,Block Shot,MISS,1
16:27,987,120263541,47,Cedric Taylor III Defensive Rebound.,Defensive Rebound,DREB,1
16:08,968,120263543,47,"Bryce Harris bad pass
turnover",Lost Ball Turnover,TOV,1
15:50,950,120263545,2428,Gage Lattimore misses 13-foot floating jump shot,JumpShot,MISS,1
15:46,946,120263547,47,Ose Okojie makes layup (Cedric Taylor III assists),LayUpShot,MAKE,1
15:46,946,120263549,2428,Foul on Gage Lattimore.,PersonalFoul,FOUL,1
15:45,945,120263546,47,Cedric Taylor III Defensive Rebound.,Defensive Rebound,DREB,1
15:45,945,120263624,2428,Gage Lattimore Defensive Rebound.,Defensive Rebound,DREB,1
15:35,935,120263625,47,Foul on Ose Okojie.,PersonalFoul,FOUL,1
15:19,919,120263662,2428,Gage Lattimore makes 25-foot three point jumper (Kelechi Okworogwo assists),JumpShot,MAKE,1
14:58,898,120263669,47,Cedric Taylor III misses 15-foot pullup jump shot,JumpShot,MISS,1
14:55,895,120263670,2428,Dionte Johnson Defensive Rebound.,Defensive Rebound,DREB,1
14:50,890,120263671,2428,Gage Lattimore misses 17-foot pullup jump shot,JumpShot,MISS,1
14:47,887,120263673,47,Cedric Taylor III Defensive Rebound.,Defensive Rebound,DREB,1
14:22,862,120263679,47,Bryce Harris makes driving layup,LayUpShot,MAKE,1
13:43,823,120263685,2428,Kelechi Okworogwo makes 12-foot pullup jump shot,JumpShot,MAKE,1
13:14,794,120263687,47,Cedric Taylor III makes 23-foot three point jumper (Alex Cotton assists),JumpShot,MAKE,1
12:44,764,120263710,2428,Dionte Johnson makes driving layup,LayUpShot,MAKE,1
12:13,733,120263721,47,Cedric Taylor III misses 15-foot pullup jump shot,JumpShot,MISS,1
12:09,729,120263722,2428,Gage Lattimore Defensive Rebound.,Defensive Rebound,DREB,1
11:43,703,120263733,2428,Gage Lattimore makes 25-foot three point step back jumpshot,JumpShot,MAKE,1
11:21,681,120263758,47,Travelle Bryson misses 27-foot three point jumper,JumpShot,MISS,1
11:16,676,120263759,47,Cedric Taylor III Offensive Rebound.,Offensive Rebound,OREB,1
11:01,661,120263763,47,"Isaiah Brown bad pass
turnover",Lost Ball Turnover,TOV,1
10:37,637,120263841,2428,Gage Lattimore misses 25-foot three point jumper,JumpShot,MISS,1
10:34,634,120263842,2428,Tekao Carpenter Offensive Rebound.,Offensive Rebound,OREB,1
10:18,618,120263844,2428,Dionte Johnson misses 25-foot three point jumper,JumpShot,MISS,1
10:15,615,120263845,47,Travelle Bryson Defensive Rebound.,Defensive Rebound,DREB,1
9:59,599,120263856,47,Travelle Bryson makes 18-foot pullup jump shot (Cam Gillus assists),JumpShot,MAKE,1
9:26,566,120263860,2428,Tekao Carpenter misses 27-foot three point pullup jump shot,JumpShot,MISS,1
9:23,563,120263861,47,Bryce Harris Defensive Rebound.,Defensive Rebound,DREB,1
9:15,555,120263863,47,Isaiah Brown misses 22-foot three point jumper,JumpShot,MISS,1
9:12,552,120263864,2428,Gage Lattimore Defensive Rebound.,Defensive Rebound,DREB,1
8:52,532,120263866,2428,Tekao Carpenter misses 23-foot three point jumper,JumpShot,MISS,1
8:49,529,120263867,47,Cam Gillus Defensive Rebound.,Defensive Rebound,DREB,1
8:35,515,120263874,47,Alex Cotton makes 23-foot three point jumper (Travelle Bryson assists),JumpShot,MAKE,1
8:09,489,120263918,2428,Kyric Davis misses alley oop dunk,DunkShot,MISS,1
8:07,487,120263919,2428,North Carolina Central Offensive Rebound.,Offensive Rebound,OREB,1
7:51,471,120263928,47,Foul on Isaiah Brown.,PersonalFoul,FOUL,1
